Reference, Quantity, Value,Pacakge,Supplier PN
C1 C2 ,2,18pF,Badge-PCB:C_0402,311-1415-1-ND
C11 C12 ,2,10uF,Badge-PCB:C_0805_2012Metric,399-4925-1-ND
C15 C3 C4 C5 C6 C7 ,6,10uF,Badge-PCB:C_0402,311-1781-1-ND
C10 C13 C14 C16 C8 ,5,0.1uF,Badge-PCB:C_0402,1276-1004-1-ND
C9 ,1,10nF,Badge-PCB:C_0402,311-1042-1-ND
D1 ,1,D,Badge-PCB:D_SOD-323,497-3381-1-ND
IC1 ,1,MCP73831T-2ACI_MC,Badge-PCB:SON50P300X200X100-9N-D,MCP73831T-2ACI/MCCT-ND 
IC2 ,1,S-1000C32-I4T1U,Badge-PCB:SNT-4A,1662-1013-1-ND
J1 ,1,USB_B_Micro,Badge-PCB:USB_Micro-B_Molex-105017-0001,WM1399CT-ND
J2 ,1,SM02B-SRSS-TB,Badge-PCB:SM02B-SRSS-TB,455-1802-1-ND
J3 ,1,Conn_01x04_Shielded,Badge-PCB:JST_SM04B-SRSS-TB(LF)(SN),455-1804-1-ND
MIC1 ,1,SPH0645LM4H-B,Badge-PCB:SPH0645LM4H-B,423-1405-1-ND
Q1 Q2 ,2,AO3401A,Badge-PCB:SOT-23,785-1001-1-ND
R17 ,1,22,Badge-PCB:R_0402,311-22.0LRCT-ND
R1 R18 R19 R4 ,4,10k,Badge-PCB:R_0402,311-10.0KLRCT-ND
R10 R11 R12 R13 R15 R16 R2 R3 R5 R7 R8 R9 ,12,100k,Badge-PCB:R_0402,311-100KLRCT-ND
R6 ,1,33,Badge-PCB:R_0402,311-33.0LRCT-ND
SW1 SW2 SW3 SW4 ,4,SW_DIP_x01,Badge-PCB:SW_SPST_TL3305A,EG5353CT-ND
TFT1 ,1,DISP_TFT_1.54IN_240X240_22P,Badge-PCB:0545482271,WM11288CT-ND
TP1 TP10 TP11 TP2 TP3 TP4 TP5 TP6 TP7 TP8 TP9 ,11,TestPoint,Badge-PCB:Test_Point_Pad_d1.0mm,NA
U1 ,1,W25Q32JVZPIQ,Badge-PCB:SON127P600X500X80-9N,W25Q32JVZPIQ-ND
U2 ,1,AP2112K-3.3V,Badge-PCB:SOT-23-5,AP2112K-3.3TRG1DICT-ND
U3 ,1,BMD-340-A-R,Badge-PCB:RIGADO_BMD-340-A-R,672-BMD-340-A-R-00CT-ND
U5 ,1,LSM9DS1,Badge-PCB:PQFN24P43_350X300X102L35X23N,497-14946-1-ND
U6 ,1,BME680,Badge-PCB:PSON80P300X300X100-8N,828-1077-1-ND
U7 ,1,APDS-9960,Badge-PCB:APDS-9960,516-3480-1-ND
Y1 ,1,32.768,Badge-PCB:Crystal_SMD_MicroCrystal_CM9V-T1A-2pin_1.6x1.0mm,2195-CM9V-T1A-32.768KHZ-12.5PF-20PPM-TA-QCCT-ND
